fecha,subcolonia,nidoPS,darvic,sexo,longitudCraneo,longitudPico,longitudNarina,anchoCraneo,altoPico,anchoPico,tarso,longAlaCerrada,longAlaAbierta,mediaEnvergadura,envergadura,peso
2018,Punta Sur,115,A70,M,183.57,117.18,87.9,53.6,33.1,26.5,95.7,52.5,98.6,104.4,208.8,3.35
2018,Punta Sur,1,5C9,H,166.6,105.05,80.63,51.64,31.31,26.1,88.82,50.7,93.4,101.4,202.8,2.43
2018,Punta Sur,2,5E0,M,181.75,115.73,85.88,55.12,33.54,27.32,97.38,53.8,98.8,108.7,217.4,2.9
2018,Punta Sur,4,5E1,M,175.53,111.23,84.93,53.74,32.75,24.93,91.42,51.3,94.2,103.4,206.8,2.99
2018,Punta Sur,6,1H8,M,177.49,113.32,84.76,54.13,35.06,25.18,93.43,50.7,96.5,101.6,203.2,3.08
2018,Punta Sur,7,C58,M,187.85,116.9,87.52,54.22,35.1,27,99.48,52.3,99.8,107.6,215.2,3.55
2018,Punta Sur,8,2H0,M,176.15,110.42,83.97,54.22,32.19,26.35,94.18,52,98,106.9,213.8,2.99
2018,Punta Sur,9,5E2,M,182.67,116.4,87.24,54.57,33.59,25.4,96.43,53.4,100.3,110.1,220.2,3.06
2018,Punta Sur,10,2E4,H,170.62,106.54,80.65,48.85,31.66,24.68,87.61,50.7,93.5,101.7,203.4,2.36
2018,Punta Sur,11,5C2,M,179.5,112.92,84.78,52.67,33.86,28.35,95.32,53.1,99.6,108.4,216.8,3.68
2018,Punta Sur,12,B13,M,180.51,111.91,84.64,54.96,33.6,26.65,92.08,51.9,97.3,106.2,212.4,2.97
2018,Punta Sur,14,J07,M,182.31,116.4,88.8,54.1,33.6,26.64,93.17,51.6,97,103.7,207.4,3.53
2018,Punta Sur,15,5E4,H,172.18,104,80.55,52.2,30.53,23.01,88.83,52.6,97.9,103.4,206.8,2.65
2018,Punta Sur,16,H54,M,179.09,110.03,83.65,53.03,31.58,25.23,91.56,51.1,98.5,104.5,209,3.06
2018,Punta Sur,17,E53,H,175.49,105.82,81.9,52.3,32.21,23.96,93.01,52.4,97.8,105.7,211.4,2.71
2018,Punta Sur,19,E21,M,185.32,116.08,89.96,56.75,32.78,26.03,97.79,53.5,102,109.1,218.2,2.17
2018,Punta Sur,20,1C2,M,184.17,115.44,88.14,53.63,35.12,27.58,95.87,51.1,97.3,106,212,3.02
2018,Punta Sur,22,1J7,M,177.88,110.46,83.41,52.81,32.66,25.9,91.56,52.7,97.1,107,214,3.24
2018,Punta Sur,23,C90,M,177.55,111.4,84.75,52.93,34.55,25.9,90.84,50.6,97.7,106.1,212.2,3.09
2018,Punta Sur,24,C48,M,179.73,113.28,87.11,52.5,34.29,25.75,92.06,52.3,98.5,108.9,217.8,3.17
2018,Punta Sur,113,1J6,H,173.31,108.69,82.91,52.19,31.1,25.34,90.83,52.8,96,104.9,209.8,2.38
2018,Punta Sur,114,0J7,M,184.48,116.46,88.06,54.2,32.93,27.03,99.69,52.6,101.3,107.4,214.8,3.11
2018,Punta Sur,112,J15,M,179.96,112.9,86.32,54.35,32.64,27.45,90.65,51.4,97.5,105.5,211,3.49
2018,Punta Sur,111,A87,M,180.64,111.54,84.52,53.9,33.95,27.02,93.96,53.6,100.8,109.1,218.2,3.09
2018,Punta Sur,110,2C0,H,173.7,105.19,80.37,49.2,34,27.12,87.77,50.8,94.5,103.7,207.4,2.73
2018,Punta Sur,56,3A6,H,177.71,116.67,85.5,53.19,31.63,24.33,88.66,50.8,95.3,103.1,206.2,2.62
2018,Punta Sur,161,1J4,H,170.56,106.07,79.91,51.16,33.17,24.68,90.12,50.7,94.7,102.6,205.2,2.67
2018,Punta Sur,62,2H7,H,177.63,112.24,84.61,48.8,33.01,26.01,89.29,51.3,98.8,104.4,208.8,2.44
2018,Punta Sur,67,3H4,H,166.8,105.27,79.53,51.6,32.4,25.75,86.05,50.7,94.6,104.5,209,2.41
2018,Punta Sur,50,C99,H,172.91,107.08,81.24,51.73,32.6,24.97,86.45,51.1,96.8,104.6,209.2,2.46
2017,Punta Sur,2,E18,H,177.21,107.1,79.9,51.7,32.6,26.8,93.8,51.6,96.6,104.4,208.8,2.62
2017,Punta Sur,4,5C0,M,180.53,113.1,84.5,52.7,34,28.1,95.1,52.1,94.4,103.7,207.4,3.03
2017,Punta Sur,5,6C2,H,175.5,105.3,77.8,49.7,31.1,25.1,88.5,50.6,91.4,99.9,199.8,2.3
2017,Punta Sur,15,5E4,H,168.03,103.6,80,51.7,31.2,24.5,87.8,52.8,96.3,104.4,208.8,2.68
2017,Punta Sur,18,C78,M,181.84,114.2,85.5,55.8,35,28.7,91.1,52.7,99.9,108.3,216.6,2.68
2017,Punta Sur,19,E21,M,180.91,116.4,88.4,56.6,32.5,25.9,94.5,53.3,99.1,108.8,217.6,3.04
2017,Punta Sur,23,H50,H,168.18,106.7,80.3,49.2,31.3,24.5,91.3,53.4,98.6,105.9,211.8,2.73
2017,Punta Sur,103,B16,H,170.5,105.5,79.9,53,32.7,26.9,90.6,52.2,95,105.6,211.2,2.76
2017,Punta Sur,105,E50,H,176.62,109.8,83.7,50.1,31.9,25.1,93,53.4,98.4,107.4,214.8,2.64
2016,Punta Sur,109,A57,H,175.14,107.89,80.96,50.97,32.2,25.83,92.07,51.7,97,106,212,2.21
2016,Punta Sur,20,H74,H,177.45,113.9,84.49,54.62,31.68,24.41,90.82,51.3,96.5,105.1,210.2,2.6
2016,Punta Sur,87,H92,H,167.09,104.58,77.53,52.11,31.99,24.27,89.67,52.2,98.8,107.3,214.6,2.25
2016,Punta Sur,30,H69,H,171.28,107.09,80.05,52.25,31.46,23.89,87.35,52.5,95.2,103.6,207.2,2.3
2016,Punta Sur,32,6C1,H,173.07,109.87,83.25,52.2,32.58,26.74,90.91,49.6,96.2,105.8,211.6,2.44
2016,Punta Sur,43,6E0,H,170.71,104.55,80.14,54.5,34.36,26.84,89.67,50.4,95.4,103,206,2.57
2016,Punta Sur,29,E09,H,175.61,111.74,83.08,54.8,32.52,25.41,90.94,48.7,93.7,103.1,206.2,2.03
2016,Punta Sur,9,C32,H,182.39,112.09,84.51,53.41,31.62,25.55,92.07,52.6,98.1,108.6,217.2,2.38
2016,Punta Sur,NA,2A2,H,177.83,106.46,81.21,52.5,33.41,25.54,90.53,52.5,96.8,107.1,214.2,2.16
2016,Punta Sur,28,A68,H,171.12,104.59,79.45,51.14,30.61,24.04,90.22,50.5,94.4,102.2,204.4,2.14
2016,Punta Sur,39,0J4,H,174.18,106.85,80.19,52.43,30.2,23.26,88.74,51,95.7,104.2,208.4,2.38
2016,Punta Sur,83,8B2,H,170.96,108.82,79.71,52.97,30.11,23.94,88.15,50.4,92.2,99.5,199,2.46
2016,Punta Sur,198,J46,H,172.11,104.93,79.41,51.63,31.76,25.88,90.41,52.1,99.1,106,212,2.13
2016,Punta Sur,198,J47,H,176.3,107.3,82.35,50.3,30.97,24.68,86.69,49.1,91.5,100.7,201.4,2.48
2016,Punta Sur,196,J32,H,181.14,108.14,81.19,51.47,31.6,25.48,90.97,51.1,94,105.5,211,2.16
2016,Punta Sur,162,J49,H,178.28,111.57,83.63,50.68,32.48,24.63,92.26,49.5,95,102.6,205.2,2.5
2016,Punta Sur,153,7E1,H,174.7,110.77,83.7,50.36,32.23,27.72,89.86,51.4,97.5,102.5,205,2.47
2016,Punta Sur,154,H67,H,181.87,107.69,82.84,50.88,34.03,26.16,91.37,52.4,98.5,105.5,211,2.05
2016,Punta Sur,44,E93,H,170.6,100.81,75.23,48.69,28.85,23.36,89.06,50.1,94.4,102,204,2.15
2016,Punta Sur,46,H42,H,171.53,103.52,77.7,51.92,29.87,25.48,87.95,51.3,96.7,107,214,2.42
2016,Punta Sur,77,H70,H,174.93,106.7,80.6,49.91,29.79,24.35,88.38,51,97,102.2,204.4,2.56
2016,Punta Sur,42,H02,H,169.14,108.63,82.06,50.57,29.67,24.53,86.17,49.7,94.3,101.3,202.6,2.67
2016,Punta Sur,NA,A67,H,177.01,109.77,81.9,50.79,32.31,27.15,92.67,51.2,92.5,102.3,204.6,2.22
2016,Punta Sur,NA,9B9,H,174.35,106.7,80.08,50.52,32.48,24.63,88.85,49.9,94.8,105.2,210.4,2.44
2016,Punta Sur,NA,J08,H,172.16,105.25,77.75,51.56,31.1,25.32,90.4,48.9,94,100.4,200.8,2.22
2016,Morro Prieto,126,H84,H,173.63,111.33,80.64,49.26,30.89,23.17,91.48,52,96.05,102.8,205.6,2.2
2016,Morro Prieto,95,E14,H,168.36,106.64,77.69,46.5,32.15,22.86,88.36,50.5,91.7,99.3,198.6,2.21
2016,Morro Prieto,203,H19,H,172.5,110.03,80.84,49.08,33.65,24.82,89.16,51.2,93.7,100.3,200.6,2.23
2016,Morro Prieto,NA,E21,H,177,111.42,81.57,50.95,33.4,24.85,90.01,51.6,98.8,101.7,203.4,3.05
2016,Morro Prieto,NA,B68,H,173.16,107.77,80.04,52.09,32.37,23.97,90.83,49.7,95.1,101.7,203.4,2.09
2016,Morro Prieto,65,B40,H,175.29,108.88,79.06,51.35,33.44,24.78,93.95,54.7,97.6,106.76,213.52,2.92
2016,Zapato,NA,M57,H,172.21,107.22,78.46,48.72,31.16,24.37,91.3,54.6,97.4,106.4,212.8,2.07
2016,Zapato,117,J76,H,172.66,108.41,79.09,53.01,32.51,24.3,99.23,50.6,94.9,101.3,202.6,2.16
2016,Zapato,190,A87,H,165.58,105.86,74.82,52.85,31.39,21.48,88.39,51.9,90.9,100,200,2.21
2016,Zapato,215,B06,H,173.32,109.9,79.53,51.72,31.94,21.57,90.24,51.6,93.2,101.1,202.2,2.33
2016,Zapato,NA,K48,H,171.15,107.17,78.32,50.29,31.7,23.7,90.78,51.3,94,99.9,199.8,2.26
2016,Punta Sur,109,E04,M,179.85,112.78,85.66,57.33,34.74,26.14,91.06,51.4,98,108.2,216.4,2.63
2016,Punta Sur,85,C91,M,178.79,110.24,82.21,54.53,33.02,25.75,92.41,52.8,100.2,107.6,215.2,2.65
2016,Punta Sur,29,9B7,M,182.95,113.9,85.65,56.12,33.05,26.38,92.21,52.1,99.8,108.4,216.8,2.53
2016,Punta Sur,7,0J2,M,177.34,113.92,85.15,55.29,33.46,25.81,91.12,50.3,95.6,105.6,211.2,2.6
2016,Punta Sur,21,E62,M,188.04,119.48,89.46,56.36,33.11,26.69,95.46,50.6,98.2,107.7,215.4,2.94
2016,Punta Sur,13,A62,M,181.01,109.98,82.95,55.47,32.84,25.84,90.78,51.4,96,105.4,210.8,2.55
2016,Punta Sur,47,4A3,M,188.66,116.32,85.55,55.52,32.79,25.69,93.33,52,98.3,107.5,215,2.77
2016,Punta Sur,69,J41,M,171.42,108.41,79.96,50.24,34.51,25.4,88.35,51.3,94.2,104.5,209,2.44
2016,Punta Sur,76,8C3,M,177.43,111.7,83.86,54.53,32.1,25.8,88.83,51.2,94.3,104.1,208.2,2.49
2016,Punta Sur,43,7C7,M,182.25,113.17,84.13,52.26,32.08,26.07,91.74,52.6,98.9,107.6,215.2,2.83
2016,Punta Sur,125,H73,M,180.18,113.54,85.32,52.02,33.23,25.75,93.94,51,96.3,104.4,208.8,2.44
2016,Punta Sur,95,J45,M,179.23,108.2,81.22,54.41,32.69,24.41,94.15,52.2,96.2,104.5,209,2.37
2016,Punta Sur,196,J48,M,183.95,112.09,85.43,55.8,34.4,26.48,93.23,50.9,96.4,107.5,215,2.77
2016,Punta Sur,164,H58,M,182.72,113.42,84.81,52.45,34.28,26.35,94.22,51.2,99.9,105,210,2.34
2016,Punta Sur,86,1H6,M,177.84,110.61,82.84,53.7,35.5,26.51,89.17,50.3,95,103.5,207,2.51
